id;file;file_content_type;comments
1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
